register	pSampleID	pStart	boundary	surface	lexeme	lexemeBERT	permalink
鎌倉-説話・随筆	30-今昔1100_29008	3330	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_29008,3330
鎌倉-説話・随筆	30-今昔1100_29036	8900	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_29036,8900
鎌倉-説話・随筆	30-今昔1100_30001	16910	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_30001,16910
鎌倉-説話・随筆	30-今昔1100_30013	4520	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_30013,4520
鎌倉-説話・随筆	30-今昔1100_31011	8650	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_31011,8650
鎌倉-日記・紀行	30-十六1280_00003	4530	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E5%85%AD1280_00003,4530
鎌倉-説話・随筆	30-十訓1252_01022	2700	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_01022,2700
鎌倉-説話・随筆	30-十訓1252_04003	25820	I	赤かり	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_04003,25820
鎌倉-説話・随筆	30-十訓1252_04006	1550	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_04006,1550
鎌倉-説話・随筆	30-十訓1252_05017	3870	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_05017,3870
鎌倉-説話・随筆	30-十訓1252_10020	6310	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%8D%81%E8%A8%931252_10020,6310
鎌倉-説話・随筆	30-宇治1220_01003	2290	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_01003,2290
鎌倉-説話・随筆	30-宇治1220_01003	2450	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_01003,2450
鎌倉-説話・随筆	30-宇治1220_03004	3170	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_03004,3170
鎌倉-説話・随筆	30-宇治1220_04010	2880	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_04010,2880
鎌倉-説話・随筆	30-宇治1220_06009	7230	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_06009,7230
鎌倉-説話・随筆	30-宇治1220_06009	24400	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_06009,24400
鎌倉-説話・随筆	30-宇治1220_09003	36650	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_09003,36650
鎌倉-説話・随筆	30-宇治1220_09003	38320	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_09003,38320
鎌倉-説話・随筆	30-宇治1220_10006	24150	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_10006,24150
鎌倉-説話・随筆	30-宇治1220_10006	24880	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_10006,24880
鎌倉-説話・随筆	30-宇治1220_10006	28310	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_10006,28310
鎌倉-説話・随筆	30-宇治1220_11001	1520	I	赤し	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_11001,1520
鎌倉-説話・随筆	30-宇治1220_11001	1780	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_11001,1780
鎌倉-説話・随筆	30-宇治1220_11001	1840	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E5%AE%87%E6%B2%BB1220_11001,1840
